study_id,section,midterm_score,final_score,midterm_status,final_status,grade_note,synthetic_flag
ALG26-001,A,66.5,66.0,응시,응시,,1
ALG26-002,A,54.0,62.5,응시,응시,,1
ALG26-003,A,79.5,100.0,응시,응시,,1
ALG26-004,A,62.5,79.5,응시,응시,,1
ALG26-005,A,71.0,75.5,응시,응시,,1
ALG26-006,A,54.0,58.5,응시,응시,,1
ALG26-007,A,63.5,72.5,응시,응시,,1
ALG26-008,A,73.0,75.5,응시,응시,,1
ALG26-009,A,61.0,57.5,응시,응시,,1
ALG26-010,A,55.5,51.5,응시,응시,,1
ALG26-011,A,58.5,50.0,응시,응시,,1
ALG26-012,A,54.5,65.5,응시,응시,,1
ALG26-013,A,54.0,69.5,응시,응시,,1
ALG26-014,A,80.0,86.0,응시,응시,,1
ALG26-015,A,73.5,77.5,응시,응시,,1
ALG26-016,A,71.5,95.0,응시,응시,,1
ALG26-017,A,72.0,59.0,응시,응시,,1
ALG26-018,A,90.5,72.5,응시,응시,,1
ALG26-019,A,62.0,47.5,응시,응시,,1
ALG26-020,A,77.0,64.5,응시,응시,,1
ALG26-021,A,38.0,,응시,결시,기말고사 결시,1
ALG26-022,A,67.0,88.0,응시,응시,,1
ALG26-023,A,60.5,74.5,응시,응시,,1
ALG26-024,A,55.5,68.5,응시,응시,,1
ALG26-025,A,57.5,74.0,응시,응시,,1
ALG26-026,A,73.0,79.0,응시,응시,,1
ALG26-027,A,66.0,73.5,응시,응시,,1
ALG26-028,A,59.5,64.0,응시,응시,,1
ALG26-029,A,68.5,81.0,응시,응시,,1
ALG26-030,A,58.0,51.0,응시,응시,,1
ALG26-031,A,84.5,92.0,응시,응시,,1
ALG26-032,A,84.0,98.5,응시,응시,,1
ALG26-033,A,85.5,88.5,응시,응시,,1
ALG26-034,A,67.0,74.5,응시,응시,,1
ALG26-035,A,77.5,88.5,응시,응시,,1
ALG26-036,A,37.0,61.5,응시,응시,,1
ALG26-037,A,76.0,52.0,응시,응시,,1
ALG26-038,A,98.0,89.0,응시,응시,,1
ALG26-039,A,44.5,63.5,응시,응시,,1
ALG26-040,A,71.5,68.0,응시,응시,,1
ALG26-041,A,91.0,88.5,응시,응시,,1
ALG26-042,A,77.5,87.0,응시,응시,,1
ALG26-043,A,62.0,58.5,응시,응시,,1
ALG26-044,A,86.0,89.0,응시,응시,,1
ALG26-045,A,56.5,68.5,응시,응시,,1
ALG26-046,A,66.5,77.0,응시,응시,,1
ALG26-047,A,91.0,100.0,응시,응시,,1
ALG26-048,A,59.0,62.5,응시,응시,,1
ALG26-049,A,60.0,67.5,응시,응시,,1
ALG26-050,A,73.5,75.5,응시,응시,,1
ALG26-051,A,73.0,77.0,응시,응시,,1
ALG26-052,A,67.5,85.0,응시,응시,,1
ALG26-053,A,80.5,74.5,응시,응시,,1
ALG26-054,A,77.0,60.0,응시,응시,,1
ALG26-055,A,62.5,68.0,응시,응시,,1
ALG26-056,A,85.5,90.5,응시,응시,,1
ALG26-057,A,98.0,100.0,응시,응시,,1
ALG26-058,A,64.5,72.0,응시,응시,,1
ALG26-059,A,89.0,99.5,응시,응시,,1
ALG26-060,A,72.5,67.0,응시,응시,,1
ALG26-061,A,62.0,58.5,응시,응시,,1
ALG26-062,A,43.0,64.5,응시,응시,,1
ALG26-063,A,40.0,65.0,응시,응시,,1
ALG26-064,A,98.0,84.0,응시,응시,,1
ALG26-065,B,93.0,86.5,응시,응시,,1
ALG26-066,B,73.0,68.5,응시,응시,,1
ALG26-067,B,82.5,86.0,응시,응시,,1
ALG26-068,B,58.5,84.0,응시,응시,,1
ALG26-069,B,83.0,75.0,응시,응시,,1
ALG26-070,B,80.0,74.0,응시,응시,,1
ALG26-071,B,63.0,58.5,응시,응시,,1
ALG26-072,B,63.0,61.5,응시,응시,,1
ALG26-073,B,70.0,79.5,응시,응시,,1
ALG26-074,B,83.0,64.5,응시,응시,,1
ALG26-075,B,67.5,70.0,응시,응시,,1
ALG26-076,B,79.0,77.5,응시,응시,,1
ALG26-077,B,82.5,84.0,응시,응시,,1
ALG26-078,B,63.5,54.5,응시,응시,,1
ALG26-079,B,79.0,69.5,응시,응시,,1
ALG26-080,B,74.0,61.5,응시,응시,,1
ALG26-081,B,52.0,82.0,응시,응시,,1
